X_1,y_fit,group,group_loss,iter,L2
1,4.04534708645624,0,0.0,0,17.84884919418486
30,4.04534708645624,0,,0,
1,1.169825179186,0,19.959505243053,1,8.397775323327583
15,1.169825179186,0,,1,
16,6.920868993726,1,19.959505243053,1,
30,6.920868993726,1,,1,
1,0.464306428998,0,10.387358602678,2,7.455865420935269
10,0.464306428998,0,,2,
11,2.580862679561,2,10.387358602678,2,
15,2.580862679561,2,,2,
16,6.920868993726,1,19.959505243053,2,
30,6.920868993726,1,,2,
1,0.464306428998,0,10.387358602678,3,1.2295789997507205
10,0.464306428998,0,,3,
11,2.580862679561,2,10.387358602678,3,
15,2.580862679561,2,,3,
16,4.595399908606,1,12.998884230303,3,
21,4.595399908606,1,,3,
22,8.471181717139,3,12.998884230303,3,
30,8.471181717139,3,,3,
1,0.464306428998,0,10.387358602678,4,1.2103703950056242
10,0.464306428998,0,,4,
11,2.580862679561,2,10.387358602678,4,
15,2.580862679561,2,,4,
16,4.555874379505,1,2.075929914236,4,
20,4.555874379505,1,,4,
21,4.793027554112,4,2.075929914236,4,
22,8.471181717139,3,12.998884230303,4,
30,8.471181717139,3,,4,
1,0.464306428998,0,10.387358602678,5,1.1660057952706466
10,0.464306428998,0,,5,
11,2.580862679561,2,10.387358602678,5,
15,2.580862679561,2,,5,
16,4.555874379505,1,2.075929914236,5,
20,4.555874379505,1,,5,
21,4.793027554112,4,2.075929914236,5,
22,8.268698679508,3,2.174647722459,5,
23,8.268698679508,3,,5,
24,8.529034013605,5,2.174647722459,5,
30,8.529034013605,5,,5,
1,0.356039653348,0,3.714305292347,6,1.0880000431804755
6,0.356039653348,0,,6,
7,0.626706592473,6,3.714305292347,6,
10,0.626706592473,6,,6,
11,2.580862679561,2,10.387358602678,6,
15,2.580862679561,2,,6,
16,4.555874379505,1,2.075929914236,6,
20,4.555874379505,1,,6,
21,4.793027554112,4,2.075929914236,6,
22,8.268698679508,3,2.174647722459,6,
23,8.268698679508,3,,6,
24,8.529034013605,5,2.174647722459,6,
30,8.529034013605,5,,6,
1,0.356039653348,0,3.714305292347,7,1.0671009408505299
6,0.356039653348,0,,7,
7,0.626706592473,6,3.714305292347,7,
10,0.626706592473,6,,7,
11,2.391042394035,2,1.424414792708,7,
12,2.628317750943,7,1.424414792708,7,
15,2.628317750943,7,,7,
16,4.555874379505,1,2.075929914236,7,
20,4.555874379505,1,,7,
21,4.793027554112,4,2.075929914236,7,
22,8.268698679508,3,2.174647722459,7,
23,8.268698679508,3,,7,
24,8.529034013605,5,2.174647722459,7,
30,8.529034013605,5,,7,
1,0.286824427639,0,1.409229969255,8,1.0535463602253698
3,0.286824427639,0,,8,
4,0.425254879058,8,1.409229969255,8,
6,0.425254879058,8,,8,
7,0.626706592473,6,3.714305292347,8,
10,0.626706592473,6,,8,
11,2.391042394035,2,1.424414792708,8,
12,2.628317750943,7,1.424414792708,8,
15,2.628317750943,7,,8,
16,4.555874379505,1,2.075929914236,8,
20,4.555874379505,1,,8,
21,4.793027554112,4,2.075929914236,8,
22,8.268698679508,3,2.174647722459,8,
23,8.268698679508,3,,8,
24,8.529034013605,5,2.174647722459,8,
30,8.529034013605,5,,8,
1,0.286824427639,0,1.409229969255,9,1.0373026724369443
3,0.286824427639,0,,9,
4,0.425254879058,8,1.409229969255,9,
6,0.425254879058,8,,9,
7,0.573506421029,6,1.571031119716,9,
9,0.573506421029,6,,9,
10,0.786307106803,9,1.571031119716,9,
11,2.391042394035,2,1.424414792708,9,
12,2.628317750943,7,1.424414792708,9,
15,2.628317750943,7,,9,
16,4.555874379505,1,2.075929914236,9,
20,4.555874379505,1,,9,
21,4.793027554112,4,2.075929914236,9,
22,8.268698679508,3,2.174647722459,9,
23,8.268698679508,3,,9,
24,8.529034013605,5,2.174647722459,9,
30,8.529034013605,5,,9,
